type,country,class,year,status,numbers
ACAZ C.2,Belgium,Two-seat fighter,1926,Prototype,1
Adamoli-Cattani fighter,Italy,NA,1918,Prototype,1
AD Scout,UK,Zeppelin interceptor,1915,Prototype,4
"AEG D.I, D.II & D.III",Germany,NA,1917,Prototype,3
AEG Dr.I,Germany,NA,1917,Prototype,1
Aerfer Ariete,Italy,NA,1958,Prototype,2
Aerfer Sagittario 2,Italy,Lightweight fighter,1956,Prototype,2
Aero Ae 02,Czechoslovakia,NA,1920,Prototype,1
Aero Ae 04,Czechoslovakia,NA,1921,Prototype,1
Aero A.18,Czechoslovakia,NA,1923,Retired,20
Aero A.19,Czechoslovakia,NA,1923,Prototype,1
Aero A.20,Czechoslovakia,NA,1923,Prototype,1
Aero A.102,Czechoslovakia,NA,1934,Prototype,1
Aeromarine PG-1,US,Fighter-bomber,1922,Prototype,1
Aeronautica Umbra Trojani AUT.18,Italy,NA,1939,Prototype,1
AIDC F-CK-1 Ching-kuo,Taiwan,fighter-bomber,1989,Operational,130
Airco DH.1,UK,Two-seat fighter,1915,Retired,170
Airco DH.2,UK,NA,1915,Retired,453
Airco DH.5,UK,NA,1916,Retired,552
Albatros D.I,Germany,NA,1916,Retired,50
Albatros D.II,Germany,NA,1916,Retired,291
Albatros D.III,Germany,NA,1916,Retired,1340
Albatros D.IV,Germany,NA,1916,Prototype,1
Albatros D.V & D.Va,Germany,NA,1917,Retired,2500
Albatros D.VI,Germany,NA,1918,Prototype,1
Albatros D.VII,Germany,NA,1917,Prototype,1
Albatros D.X,Germany,NA,1918,Prototype,1
Albatros D.XI,Germany,NA,1918,Prototype,2
Albatros D.XII,Germany,NA,1918,Prototype,1
Albatros Dr.I,Germany,NA,1917,Prototype,1
Albatros Dr.II,Germany,NA,1918,Prototype,1
Albatros L 65,Germany,Fighter-reconnaissance,1925,Prototype,2
Albatros L 77v,Germany,Fighter-reconnaissance,1928,Prototype,4
Albatros L 84,Germany,Two-seat fighter,1931,Prototype,5
Albatros W.4,Germany,Floatplane fighter,1916,Retired,118
Albree Pigeon-Fraser Pursuit,US,NA,1917,Prototype,3
Alcock Scout,UK,NA,1917,Prototype,1
Alekseyev I-211 & 215,USSR,NA,1947,Prototype,3
Alter A.1,Germany,NA,1917,Prototype,1
Ambrosini SAI.107 & 207,Italy,Lightweight fighter,1940,Retired,14
Ambrosini SAI.403,Italy,Lightweight fighter,1943,Prototype,1
Ambrosini SS.4,Italy,NA,1939,Prototype,1
Amiot 110,France,Lightweight Jockey fighter,1928,Prototype,2
Anatra Anadis,Russia,NA,1916,Prototype,1
ANF Les Mureaux 114,France,Night fighter,1931,Prototype,2
ANF Les Mureaux 130/Les Mureaux 3 & 4,France,Fighter-reconnaissance,1927,Prototype,2
ANF Les Mureaux 170,France,NA,1932,Prototype,2
ANF Les Mureaux 180,France,Two-seat fighter,1935,Prototype,1
ANF Les Mureaux 190,France,Lightweight fighter,1936,Prototype,1
Ansaldo A.1 Balilla,Italy,NA,1917,Retired,307
Ansaldo ISVA,Italy,Floatplane fighter,1917,Retired,50
Ansaldo SVA,Italy,Fighter-reconnaissance,1917,Retired,1245
Arado SD I,Germany,NA,1927,Prototype,2
Arado SD II,Germany,NA,1929,Prototype,1
Arado SD III,Germany,NA,1929,Prototype,1
Arado SSD I,Germany,Floatplane fighter,1930,Prototype,1
Arado Ar 64,Germany,NA,1930,Retired,20
Arado Ar 65,Germany,NA,1931,Retired,85
Arado Ar 67,Germany,NA,1933,Prototype,1
Arado Ar 68,Germany,NA,1934,Retired,511
Arado Ar 76,Germany,Lightweight fighter,1934,Retired,189
Arado Ar 80,Germany,NA,1935,Prototype,3
Arado Ar 197,Germany,Carrier fighter,1937,Prototype,3
Arado Ar 240,Germany,Heavy fighter,1940,Prototype,14
Arado Ar 440,Germany,Heavy fighter,1942,Prototype,5
Armstrong Whitworth Ara,UK,NA,1919,Prototype,2
Armstrong Whitworth Armadillo,UK,NA,1918,Prototype,1
Armstrong Whitworth A.W.16,UK,NA,1930,Retired,18
Armstrong Whitworth F.K.6,UK,Escort fighter,1916,Prototype,1
Armstrong Whitworth F.K.9 & 10,UK,NA,1916,Prototype,9
Armstrong Whitworth Siskin,UK,NA,1919,Retired,272
Armstrong Whitworth Starling,UK,NA,1927,Prototype,2
Armstrong Whitworth AW.35 Scimitar,UK,NA,1935,Retired,6
Army Arsenal Model 3,Japan,NA,1927,Prototype,1
Arsenal-Delanne 10,France,NA,1941,Prototype,1
Arsenal VG-30 - 39,France,Lightweight fighter,1938,Retired,40
Arsenal VB 10,France,Interceptor,1945,Prototype,6
Arsenal VG 90,France,Carrier fighter,1949,Prototype,2
Atlas Cheetah,South Africa,Fighter-bomber,1986,Operational,70
Austin-Ball A.F.B.1,UK,NA,1917,Prototype,1
Austin Osprey,UK,NA,1918,Prototype,1
Austin Greyhound,UK,Two-seat fighter,1919,Prototype,3
Avia BH-3,Czechoslovakia,NA,1921,Retired,14
Avia BH-4,Czechoslovakia,NA,1922,Prototype,1
Avia BH-6,Czechoslovakia,NA,1923,Prototype,1
Avia BH-7,Czechoslovakia,NA,1923,Prototype,2
Avia BH-8,Czechoslovakia,NA,1923,Prototype,1
Avia BH-17,Czechoslovakia,NA,1924,Retired,24
Avia BH-19,Czechoslovakia,NA,1924,Prototype,2
Avia BH-21,Czechoslovakia,NA,1925,Retired,184
Avia BH-23,Czechoslovakia,Night fighter,1926,Prototype,2
Avia BH-33,Czechoslovakia,NA,1927,Retired,110
Avia B-34,Czechoslovakia,NA,1932,Retired,14
Avia B-534,Czechoslovakia,NA,1933,Retired,566
Avia B-634,Czechoslovakia,NA,1936,Prototype,1
Avia B-35,Czechoslovakia,NA,1938,Prototype,3
Avia B-135,Czechoslovakia,NA,1939,Retired,13
Avia S-199,Czechoslovakia,NA,1947,Retired,603
Aviatik (Berg) D.I,Austria-Hungary,NA,1917,Retired,700
Aviatik (Berg) D.II,Austria-Hungary,NA,1917,Retired,19
Aviatik D.III,Germany,NA,1917,Prototype,2
Aviatik D.VI,Germany,NA,1918,Prototype,1
Aviatik D.VII,Germany,NA,1918,Prototype,1
Aviméta 88,France,Night fighter,1927,Prototype,1
Aviotehas PN-3,Estonia,Fighter-reconnaissance,1939,Prototype,1
AVIS I,Hungary,NA,1933,Prototype,1
AVIS II,Hungary,NA,1935,Prototype,1
AVIS III,Hungary,NA,1935,Prototype,3
AVIS IV,Hungary,NA,1937,Prototype,1
Avro 504,UK,Zeppelin interceptor,1913,Retired,11303
Avro 523 Pike,UK,Zeppelin interceptor,1916,Prototype,2
Avro 527,UK,Fighter-reconnaissance,1916,Prototype,1
Avro 530,UK,Two-seat fighter,1917,Prototype,2
Avro 531 Spider,UK,NA,1918,Prototype,2
Avro 566 Avenger,UK,NA,1926,Prototype,1
Avro 584 Avocet,UK,Fleet fighter,1927,Prototype,2
Avro Canada CF-100 Canuck,Canada,All-weather interceptor,1950,Retired,692
Avro Canada CF-105 Arrow,Canada,All-weather interceptor,1958,Prototype,5
Bachem Ba 349,Germany,VTO rocket interceptor,1945,Prototype,36
BAJ IV,France,Two-seat fighter,1919,Prototype,2
BAT Bantam,UK,NA,1918,Prototype,15
BAT Basilisk,UK,NA,1918,Prototype,3
Baykar Bayraktar Kızılelma,Turkey,Unmanned fighter,2023,Prototype,2
Beardmore W.B.2,UK,NA,1917,Prototype,3
Beardmore W.B.III,UK,Shipboard fighter,1917,Retired,100
Beardmore W.B.IV,UK,Shipboard fighter,1917,Prototype,1
Beardmore W.B.V,UK,Shipboard fighter,1917,Prototype,2
Beardmore W.B.XXVI,UK,Two-seat fighter,1925,Prototype,1
Bell YFM-1 Airacuda,US,Interceptor,1937,Retired,13
Bell XFL Airabonita,US,Carrier fighter,1940,Prototype,1
Bell P-39 Airacobra,US,NA,1938,Retired,9584
Bell P-59 Airacomet,US,NA,1942,Retired,66
Bell P-63 Kingcobra,US,NA,1942,Retired,3303
Bell XP-77,US,Lightweight fighter,1944,Prototype,2
Bell XP-83,US,Escort fighter,1945,Prototype,2
Berkmans Speed Scout,US,NA,1917,Prototype,1
Bereznyak-Isayev BI-1,USSR,Interceptor rocket,1942,Prototype,9
Berliner-Joyce XFJ,US,Carrier fighter,1930,Prototype,1
Berliner-Joyce F2J,US,Carrier fighter,1933,Retired,39
Berliner-Joyce XF3J,US,Carrier fighter,1934,Prototype,1
Berliner-Joyce P-16,US,NA,1930,Retired,26
Bernard SIMB AB 10,France,NA,1924,Prototype,1
Bernard SIMB AB 12,France,NA,1926,Prototype,1
Bernard SIMB AB 14,France,NA,1925,Prototype,1
Bernard 15,France,NA,1926,Prototype,1
Bernard 20,France,NA,1929,Prototype,1
Bernard H.52,France,Floatplane fighter,1933,Prototype,2
Bernard 74 & 75,France,NA,1931,Prototype,2
Bernard H 110,France,Floatplane fighter,1935,Prototype,1
Bernard 260,France,NA,1932,Prototype,2
Bisnovat SK-2,USSR,NA,1940,Prototype,1
Blackburn F.3,UK,NA,1934,Prototype,1
Blackburn Firebrand,UK,Torpedo fighter,1942,Retired,193
Blackburn Firecrest,UK,Strike fighter,1947,Prototype,3
Blackburn Lincock,UK,Lightweight fighter,1928,Retired,7
Blackburn Roc,UK,Turret fighter,1938,Retired,136
Blackburn Skua,UK,Fighter/dive bomber,1937,Retired,192
Blackburn Triplane,UK,Zeppelin interceptor,1917,Prototype,1
Blackburn Turcock,UK,Interceptor/fleet fighter,1927,Prototype,1
Blériot 118,France,Flying-boat fighter,1925,Prototype,1
Blériot-SPAD S.41,France,NA,1922,Prototype,1
Blériot-SPAD S.51,France,NA,1924,Retired,54
Blériot-SPAD S.60,France,Two-seat fighter,1926,Prototype,3
Blériot-SPAD S.61,France,NA,1923,Retired,380
Blériot-SPAD S.70,France,NA,1927,Prototype,1
Blériot-SPAD S.71,France,NA,1923,Prototype,1
Blériot-SPAD S.72,France,NA,1923,Prototype,1
Blériot-SPAD S.81,France,NA,1923,Retired,87
Blériot-SPAD S.91,France,Lightweight Jockey fighter,1927,Prototype,4
Blériot-SPAD S.510,France,NA,1933,Retired,61
Blériot-SPAD S.710,France,NA,1937,Prototype,1
Bloch MB.150-157,France,NA,1937,Retired,663
Blohm & Voss BV 40,Germany,Interceptor glider,1944,Prototype,7
Blohm & Voss BV 155,Germany,High-altitude interceptor,1944,Prototype,3
Boeing FB,US,Carrier fighter,1923,Retired,44
Boeing F2B,US,Carrier fighter,1926,Retired,33
Boeing F3B,US,Carrier fighter,1928,Retired,74
Boeing F4B,US,Carrier fighter,1928,Retired,187
Boeing XF5B,US,Carrier fighter,1930,Prototype,1
Boeing XF6B,US,Fighter-bomber,1933,Prototype,1
Boeing XF7B,US,Carrier fighter,1933,Prototype,1
Boeing XF8B,US,Carrier fighter,1944,Prototype,3
Boeing PW-9,US,NA,1923,Retired,114
Boeing XP-4,US,NA,1927,Prototype,1
Boeing XP-7,US,NA,1928,Prototype,1
Boeing XP-8,US,NA,1928,Prototype,1
Boeing XP-9,US,NA,1930,Prototype,1
Boeing P-12,US,NA,1929,Retired,366
Boeing XP-15,US,NA,1930,Prototype,1
Boeing P-26 Peashooter,US,NA,1932,Retired,151
Boeing P-29,US,NA,1934,Prototype,3
Boeing Model 100,US,NA,1929,Retired,9
Boeing Model 218,US,NA,1929,Retired,1
Boeing Model 256,US,NA,1932,Retired,14
Boeing Model 267,US,NA,1933,Retired,9
Boeing F/A-18E/F Super Hornet,US,Carrier fighter-bomber,1995,Operational,608
Boeing X-32,US,NA,2000,Prototype,2
Bolkhovitinov I-1,USSR,Fighter-bomber,1940,Prototype,1
Borel-Boccacio Type 3000,France,Two-seat fighter,1919,Prototype,1
Borel C.A.P. 2,France,High-altitude fighter,1920,Prototype,1
Borovkov-Florov I-207,USSR,NA,1937,Prototype,8
Boulton & Paul Bobolink,UK,NA,1918,Prototype,1
Boulton Paul Defiant,UK,Turret fighter,1937,Retired,1064
Boulton & Paul Partridge,UK,NA,1928,Prototype,1
Breda Ba.27,Italy,NA,1933,Retired,14
Breguet BUC/BLC,France,Escort fighter,1915,Prototype,32
Breguet LE Laboratoire Eiffel,France,NA,1918,Prototype,1
Breguet Taon,France,Strike fighter,1957,Prototype,2
Breguet 17,France,Night fighter,1918,Retired,100
Brewster F2A Buffalo,US,Carrier fighter,1937,Retired,509
Bristol Badger,UK,Fighter-reconnaissance,1919,Prototype,5
Bristol Bagshot,UK,Heavy fighter,1927,Prototype,1
Bristol Beaufighter,UK,Strike fighter,1939,Retired,5928
Bristol Blenheim,UK,Night fighter,1935,Retired,4422
Bristol Bulldog,UK,NA,1928,Retired,443
Bristol Bullfinch,UK,NA,1922,Prototype,3
Bristol Bullpup,UK,NA,1928,Prototype,1
Bristol F.2 Fighter,UK,Two-seat fighter,1916,Retired,5329
Bristol Jupiter Fighter,UK,NA,1923,Prototype,3
Bristol M.1 Bullet,UK,NA,1916,Retired,130
Bristol Scout,UK,NA,1914,Retired,374
Bristol Scout F,UK,NA,1918,Prototype,3
Bristol T.T.A.,UK,Zeppelin interceptor,1916,Prototype,2
Bristol Type 101,UK,Two-seat fighter,1927,Prototype,1
Bristol Type 123,UK,NA,1934,Prototype,1
Bristol Type 133,UK,NA,1934,Prototype,1
Bristol Type 146,UK,NA,1938,Prototype,1
British Aerospace Sea Harrier,UK,Carrier V/STOL fighter,1978,Retired,98
Burgess HT-B/HT-2,US,NA,1917,Retired,8
Buscaylet-Bechereau BB.2,France,NA,1924,Prototype,1
Buscaylet-de Monge 5/2,France,NA,1923,Prototype,1
CAC Boomerang,Australia,NA,1942,Retired,250
CAC CA-15 Kangaroo,Australia,NA,1946,Prototype,1
CAC Wirraway,Australia,Emergency fighter/trainer,1935,Retired,755
Canadian Car and Foundry FDB-1,Canada,NA,1938,Prototype,1
Caproni Ca.20,Italy,NA,1914,Prototype,1
Caproni Ca.70 & 71,Italy,Night fighter,1925,Prototype,2
Caproni Ca.114,Italy,NA,1933,Retired,36
Caproni Ca.165,Italy,NA,1938,Prototype,1
Caproni Ca.301,Italy,NA,1934,Prototype,2
