country,n
Belgium,6
Italy,12954
UK,132557
Germany,98963
Czechoslovakia,1770
US,177943
Taiwan,130
USSR,144537
France,40794
Russia,877
Japan,36839
South Africa,70
Austria-Hungary,2174
Estonia,1
Hungary,211
Canada,698
Turkey,4
Australia,1006
"China, Pakistan",100
China,11346
Switzerland,24
"France, Netherlands",1
Spain,4
Lithuania,1
Chile,15
"UK, Germany, Italy, Spain",571
Sweden,2960
Argentina,7
Netherlands,488
"UK, Japan",151
"India, UK",89
India,179
Egypt,3
Iran,36
"Spain, Germany",239
Israel,285
Romania,377
Yugoslavia,182
Finland,101
"South Korea, Indonesia",1
Norway,10
"Japan, US",98
Denmark,6
"France, Germany",241
Siam,1
Poland,757
"UK, France",101
"India, Russia",272
Mexico,5
Latvia,10
West Germany,3
