dest,avg_delay,name,lat,lon,type
ABQ,4.381889763779528,Albuquerque International Sunport,35.0402222,-106.6091944,Destinations
ACK,4.8522727272727275,Nantucket Mem,41.253053,-70.060181,Destinations
ALB,14.397129186602871,Albany Intl,42.748267,-73.801692,Destinations
ANC,-2.5,Ted Stevens Anchorage Intl,61.174361,-149.996361,Destinations
ATL,11.300112846706659,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,Destinations
AUS,6.019908751555371,Austin Bergstrom Intl,30.194528,-97.669889,Destinations
AVL,8.003831417624522,Asheville Regional Airport,35.436194,-82.541806,Destinations
BDL,7.048543689320389,Bradley Intl,41.938889,-72.683222,Destinations
BGR,8.027932960893855,Bangor Intl,44.807444,-68.828139,Destinations
BHM,16.87732342007435,Birmingham Intl,33.562942,-86.75355,Destinations
BNA,11.812458908612754,Nashville Intl,36.124472,-86.678194,Destinations
BOS,2.9143922247370524,General Edward Lawrence Logan Intl,42.364347,-71.005181,Destinations
BQN,8.245495495495495,NA,NA,NA,Destinations
BTV,8.950996015936255,Burlington Intl,44.471861,-73.153278,Destinations
BUF,8.945951859956237,Buffalo Niagara Intl,42.940525,-78.732167,Destinations
BUR,8.175675675675675,Bob Hope,34.200667,-118.358667,Destinations
BWI,10.726733847065796,Baltimore Washington Intl,39.175361,-76.668333,Destinations
BZN,7.6,Gallatin Field,45.777643,-111.160151,Destinations
CAE,41.764150943396224,Columbia Metropolitan,33.938833,-81.119528,Destinations
CAK,19.69833729216152,Akron Canton Regional Airport,40.9160833,-81.4421944,Destinations
CHO,9.5,Charlottesville-Albemarle,38.138639,-78.452861,Destinations
CHS,10.59296846683581,Charleston Afb Intl,32.898647,-80.040528,Destinations
CLE,9.181611288120164,Cleveland Hopkins Intl,41.411689,-81.849794,Destinations
CLT,7.36031885329823,Charlotte Douglas Intl,35.214,-80.943139,Destinations
CMH,10.601322910402887,Port Columbus Intl,39.997972,-82.891889,Destinations
CRW,14.671641791044776,Yeager,38.373147,-81.593189,Destinations
CVG,15.364563758389261,Cincinnati Northern Kentucky Intl,39.048836,-84.667822,Destinations
DAY,12.68048606147248,James M Cox Dayton Intl,39.902375,-84.219375,Destinations
DCA,9.066952036000439,Ronald Reagan Washington Natl,38.852083,-77.037722,Destinations
DEN,8.606500209234202,Denver Intl,39.861656,-104.673178,Destinations
DFW,0.3221268478779209,Dallas Fort Worth Intl,32.896828,-97.037997,Destinations
DSM,19.005736137667306,Des Moines Intl,41.533972,-93.663083,Destinations
DTW,5.429963459196102,Detroit Metro Wayne Co,42.212444,-83.353389,Destinations
EGE,6.304347826086956,Eagle Co Rgnl,39.642556,-106.917694,Destinations
EYW,6.352941176470588,Key West Intl,24.556111,-81.759556,Destinations
FLL,8.082121543246197,Fort Lauderdale Hollywood Intl,26.072583,-80.15275,Destinations
GRR,18.189560439560438,Gerald R Ford Intl,42.880833,-85.522806,Destinations
GSO,14.11260053619303,Piedmont Triad,36.09775,-79.937306,Destinations
GSP,15.935443037974684,Greenville-Spartanburg International,34.895556,-82.218889,Destinations
HDN,2.142857142857143,Yampa Valley,40.481181,-107.21766,Destinations
HNL,-1.3651925820256776,Honolulu Intl,21.318681,-157.922428,Destinations
HOU,7.176188190110418,William P Hobby,29.645419,-95.278889,Destinations
IAD,13.864202117778191,Washington Dulles Intl,38.944533,-77.455811,Destinations
IAH,4.240790402258292,George Bush Intercontinental,29.984433,-95.341442,Destinations
ILM,4.635514018691588,Wilmington Intl,34.270615,-77.902569,Destinations
IND,9.940434124179708,Indianapolis Intl,39.717331,-86.294383,Destinations
JAC,28.095238095238095,Jackson Hole Airport,43.607333333,-110.73775,Destinations
JAX,11.844834159359513,Jacksonville Intl,30.494056,-81.687861,Destinations
LAS,0.2577284946236559,Mc Carran Intl,36.080056,-115.15225,Destinations
LAX,0.5471109447148383,Los Angeles Intl,33.942536,-118.408075,Destinations
LEX,-22,Blue Grass,38.0365,-84.605889,Destinations
LGA,NA,La Guardia,40.777245,-73.872608,Destinations
LGB,-0.06202723146747353,Long Beach,33.817722,-118.151611,Destinations
MCI,14.514058355437665,Kansas City Intl,39.297606,-94.713905,Destinations
MCO,5.454643087277153,Orlando Intl,28.429394,-81.308994,Destinations
MDW,12.364223602484472,Chicago Midway Intl,41.785972,-87.752417,Destinations
MEM,10.645314353499407,Memphis Intl,35.042417,-89.976667,Destinations
MHT,14.78755364806867,Manchester Regional Airport,42.932556,-71.435667,Destinations
MIA,0.29905977745191065,Miami Intl,25.79325,-80.290556,Destinations
MKE,14.167220376522701,General Mitchell Intl,42.947222,-87.896583,Destinations
MSN,20.196043165467625,Dane Co Rgnl Truax Fld,43.139858,-89.337514,Destinations
MSP,7.270168855534709,Minneapolis St Paul Intl,44.881956,-93.221767,Destinations
MSY,6.490174966352624,Louis Armstrong New Orleans Intl,29.993389,-90.258028,Destinations
MTJ,1.7857142857142858,Montrose Regional Airport,38.509794,-107.894242,Destinations
MVY,-0.2857142857142857,Martha\\'s Vineyard,41.391667,-70.615278,Destinations
MYR,4.603448275862069,Myrtle Beach Intl,33.67975,-78.928333,Destinations
OAK,3.0776699029126213,Metropolitan Oakland Intl,37.721278,-122.220722,Destinations
OKC,30.61904761904762,Will Rogers World,35.393089,-97.600733,Destinations
OMA,14.69889840881273,Eppley Afld,41.303167,-95.894069,Destinations
ORD,5.876614753108777,Chicago Ohare Intl,41.978603,-87.904842,Destinations
ORF,10.949093444909344,Norfolk Intl,36.894611,-76.201222,Destinations
PBI,8.562972098042238,Palm Beach Intl,26.683161,-80.095589,Destinations
PDX,5.141579731743666,Portland Intl,45.588722,-122.5975,Destinations
PHL,10.127190136275146,Philadelphia Intl,39.871944,-75.241139,Destinations
PHX,2.0970473295701257,Phoenix Sky Harbor Intl,33.434278,-112.011583,Destinations
PIT,7.680990531682447,Pittsburgh Intl,40.491467,-80.232872,Destinations
PSE,7.871508379888268,NA,NA,NA,Destinations
PSP,-12.722222222222221,Palm Springs Intl,33.829667,-116.506694,Destinations
PVD,16.23463687150838,Theodore Francis Green State,41.732581,-71.420383,Destinations
PWM,11.660402097902098,Portland Intl Jetport,43.646161,-70.309281,Destinations
RDU,10.052380952380952,Raleigh Durham Intl,35.877639,-78.787472,Destinations
RIC,20.111253196930946,Richmond Intl,37.505167,-77.319667,Destinations
ROC,11.56064461407973,Greater Rochester Intl,43.118866,-77.672389,Destinations
RSW,3.2381496287835523,Southwest Florida Intl,26.536167,-81.755167,Destinations
SAN,3.1391657438169065,San Diego Intl,32.733556,-117.189667,Destinations
